City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,zhezqazghan,47.7833,67.7667,-10.62,84,40,8.95,KZ,1706320578
325,natchitoches,31.7668,-93.1335,61.65,100,100,6.91,US,1706320578
326,la ronge,55.1001,-105.2842,23.25,93,100,6.91,CA,1706320578
327,krasnozerskoye,53.9828,79.2374,6.33,93,61,8.19,RU,1706320579
328,dryden,49.7833,-92.7503,28.69,93,100,9.22,CA,1706320579
329,gadzhiyevo,69.2551,33.3362,20.98,91,100,13.96,RU,1706320579
330,vilyuysk,63.7553,121.6247,-40.0,100,92,4.0,RU,1706320308
331,rabo de peixe,37.8,-25.5833,63.99,99,75,14.97,PT,1706320579
332,kabo,7.6994,18.629,69.85,27,8,4.65,CF,1706320579
333,port alfred,-33.5906,26.891,67.17,94,99,4.0,ZA,1706320316
334,axim,4.8699,-2.2405,79.0,85,7,4.34,GH,1706320580
335,kingscliff,-28.2667,153.5667,92.77,74,100,8.05,AU,1706320580
336,kirensk,57.7853,108.1119,-24.03,99,43,5.01,RU,1706320580
337,dzhalagash,45.0833,64.6667,14.54,83,97,11.01,KZ,1706320580
338,rongelap,11.1635,166.8941,78.31,59,100,9.15,MH,1706320580
339,rahatgarh,23.7833,78.3667,52.88,38,18,3.94,IN,1706320580
340,wayne,42.2506,-83.2833,39.25,94,100,6.91,US,1706320580
341,seydi,39.4816,62.9137,34.2,71,100,10.58,TM,1706320581
342,queenstown,-31.8976,26.8753,72.45,39,100,5.75,ZA,1706320581
343,brookings,44.3114,-96.7984,28.4,93,100,4.61,US,1706320581
344,pacocha,-17.5833,-71.3333,72.39,87,48,5.23,PE,1706320581
345,bambanglipuro,-7.95,110.2833,83.14,75,20,4.12,ID,1706320581
346,prado,-17.3411,-39.2208,76.53,98,100,9.46,BR,1706320371
347,manga,11.6636,-1.0731,66.63,21,4,8.5,BF,1706320582
348,jiuquan,39.7432,98.5174,17.2,33,95,2.35,CN,1706320582
349,kirakira,-10.4544,161.9205,84.78,74,100,12.53,SB,1706320582
350,tamazunchale,21.2667,-98.7833,68.32,90,0,3.74,MX,1706320582
351,kandahar,31.0,65.75,51.42,69,81,7.27,AF,1706320582
352,as saffaniyah,27.9708,48.73,61.93,87,97,11.77,SA,1706320582
353,sanchor,24.7553,71.7722,56.75,28,82,6.04,IN,1706320582
354,bambamarca,-6.6833,-78.5333,57.13,95,95,3.22,PE,1706320583
355,nueva gerona,21.8833,-82.8,74.7,82,3,4.5,CU,1706320583
356,afaahiti,-17.75,-149.2833,78.67,76,52,8.68,PF,1706320583
357,mutuali,-14.8706,37.0044,64.2,96,98,2.42,MZ,1706320583
358,filey,54.21,-0.2892,40.68,86,4,7.0,GB,1706320583
359,cidreira,-30.1811,-50.2056,71.83,69,70,12.75,BR,1706320583
360,sangin,32.0728,64.8359,54.54,47,95,3.98,AF,1706320583
361,nykarleby,63.5228,22.5307,24.91,90,100,11.52,FI,1706320584
